Sample,Wet.Dry
2.21.2023.RC3,Dry
3.8.2023.RC1,Dry
3.8.2023.RC2,Dry
3.8.2023.RC3,Dry
4.10.2023.RC1,Wet
4.10.2023.RC2,Wet
4.10.2023.RC3,Wet
4.20.2023.RC1,Dry
4.20.2023.RC2,Dry
4.20.2023.RC3,Dry
5.12.2023.RC1,Dry
5.12.2023.RC2,Dry
5.12.2023.RC3,Dry
6.6.2023.RC1,Dry
6.12.2023.RC3,Wet
6.22.2023.RC1,Wet
6.22.2023.RC2,Wet
6.22.2023.RC3,Wet
7.10.2023.RC1,Wet
7.10.2023.RC2,Wet
7.10.2023.RC3,Wet
9.8.2023.RC1,Dry
9.8.2023.RC2,Dry
9.8.2023.RC3,Dry
9.27.2023.RC1,Dry
9.27.2023.RC2,Dry
9.27.2023.RC3,Dry
10.10.2023.RC1,Dry
10.10.2023.RC2,Dry
10.10.2023.RC3,Dry
10.25.2023.RC1,Dry
10.25.2023.RC3,Dry
12.7.2023.RC2,Dry
12.11.2023.RC2,Wet
12.11.2023.RC3,Wet
1.5.2024.RC1,Dry
1.5.2024.RC2,Dry
1.5.2024.RC3,Dry
1.10.2024.RC1,Wet
1.10.2024.RC2,Wet
1.10.2024.RC3,Wet
2.13.2024.RC1,Wet
2.13.2024.RC2,Wet
2.13.2024.RC3,Wet
2.21.2024.RC1,Dry
2.21.2024.RC2,Dry
2.21.2024.RC3,Dry
3.7.2024.RC1,Wet
3.7.2024.RC2,Wet
3.7.2024.RC3,Wet
3.26.2024.RC1,Dry
3.26.2024.RC2,Dry
3.26.2024.RC3,Dry
4.15.2024.RC1,Dry
4.15.2024.RC2,Dry
4.15.2024.RC3,Dry
4.22.2024.RC1,Wet
4.22.2024.RC2,Wet
4.22.2024.RC3,Wet
5.10.2024.RC1,Wet
5.10.2024.RC2,Wet
5.10.2024.RC3,Wet
5.23.2024.RC1,Dry
5.23.2024.RC2,Dry
5.23.2024.RC3,Dry
6.10.2024.RC1,Wet
6.10.2024.RC2,Wet
6.10.2024.RC3,Wet
6.21.2024.RC1,Dry
6.21.2024.RC2,Dry
6.21.2024.RC3,Dry
7.8.2024.RC1,Wet
7.8.2024.RC2,Wet
7.8.2024.RC3,Wet
7.15.2024.RC1,Dry
7.15.2024.RC2,Dry
7.15.2024.RC3,Dry
8.14.2024.RC1,Dry
8.14.2024.RC2,Dry
8.14.2024.RC3,Dry
8.28.2024.RC1,Dry
8.28.2024.RC2,Dry
8.28.2024.RC3,Dry
9.11.2024.RC1,Dry
9.11.2024.RC2,Dry
9.11.2024.RC3,Dry
10.7.2024.RC1,Dry
10.7.2024.RC2,Dry
10.7.2024.RC3,Dry
10.30.2024.RC1,Dry
10.30.2024.RC2,Dry
10.30.2024.RC3,Dry
11.7.2024.RC1,Wet
11.7.2024.RC2,Wet
11.7.2024.RC3,Wet
11.11.2024.RC2,Wet
11.11.2024.RC3,Wet
